date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Mar%202020%2010:43:20%20GMT	https://www.wastalinux.org/robots.txt		(from )
13:43:22	5277/5277	U--M-Z	200	updated ('OK')	text/html	etag:%22149d-59fdcd730c94b-gzip%22	https://www.wastalinux.org/	./wasta-linux-doc/www.wastalinux.org/index.html	(from )
13:43:22	1265/1265	---M--	200	added ('OK')	application/javascript	etag:%224f1-59fdcd7309a6e%22	https://www.wastalinux.org/search.min.2caae1adf980c65093c5cc4decf41324a7c8eea07428be2462a4103e22954937.js	./wasta-linux-doc/www.wastalinux.org/search.min.2caae1adf980c65093c5cc4decf41324a7c8eea07428be2462a4103e22954937.js	(from https://www.wastalinux.org/)
13:43:23	9649/9649	U--M--	200	updated ('OK')	text/css	etag:%2225b1-59fdcd72ffe36%22	https://www.wastalinux.org/book.min.17ae4652bd42389d5b51ecea8de95e9867d6aa91aa6c938402769269b484ca28.css	./wasta-linux-doc/www.wastalinux.org/book.min.17ae4652bd42389d5b51ecea8de95e9867d6aa91aa6c938402769269b484ca28.css	(from https://www.wastalinux.org/)
13:43:23	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Mar%202020%2010:43:23%20GMT	http://www.wastalinux.org/index.xml	./wasta-linux-doc/www.wastalinux.org/index.3.delayed	(from https://www.wastalinux.org/)
13:43:24	21392/21392	U--M--	200	updated ('OK')	application/xml	etag:%225390-59fdcd73136a6%22	https://www.wastalinux.org/index.xml	./wasta-linux-doc/www.wastalinux.org/index.xml	(from https://www.wastalinux.org/)
13:43:25	11817/11817	U--M-Z	200	updated ('OK')	text/html	etag:%222e29-59fdcd730aa0d-gzip%22	https://www.wastalinux.org/home/download/	./wasta-linux-doc/www.wastalinux.org/home/download/index.html	(from https://www.wastalinux.org/)
13:43:26	14006/14006	U--M-Z	200	updated ('OK')	text/html	etag:%2236b6-59fdcd730aa0d-gzip%22	https://www.wastalinux.org/home/faq/	./wasta-linux-doc/www.wastalinux.org/home/faq/index.html	(from https://www.wastalinux.org/)
13:43:26	1954/1954	U-----	200	untouched ('')	image/png	etag:%227a2-59afa97dac152%22	https://www.wastalinux.org/favicon.png	./wasta-linux-doc/www.wastalinux.org/favicon.png	(from https://www.wastalinux.org/)
13:43:27	8466/8466	U--M-Z	200	updated ('OK')	text/html	etag:%222112-59fdcd730c94b-gzip%22	https://www.wastalinux.org/home/ubuntu-migration/	./wasta-linux-doc/www.wastalinux.org/home/ubuntu-migration/index.html	(from https://www.wastalinux.org/)
13:43:27	4132/4132	U-----	200	untouched ('')	image/png	etag:%221024-59bd8d61de804%22	https://www.wastalinux.org/img/site-logo-64.png	./wasta-linux-doc/www.wastalinux.org/img/site-logo-64.png	(from https://www.wastalinux.org/)
13:43:28	7454/7454	U--M-Z	200	updated ('OK')	text/html	etag:%221d1e-59fdcd730c94b-gzip%22	https://www.wastalinux.org/wasta-apps/wasta-backup/	./wasta-linux-doc/www.wastalinux.org/wasta-apps/wasta-backup/index.html	(from https://www.wastalinux.org/)
13:43:28	4422/4422	U--M-Z	200	updated ('OK')	text/html	etag:%221146-59fdcd730c94b-gzip%22	https://www.wastalinux.org/wasta-apps/	./wasta-linux-doc/www.wastalinux.org/wasta-apps/index.html	(from https://www.wastalinux.org/)
13:43:29	7665/7665	U--M-Z	200	updated ('OK')	text/html	etag:%221df1-59fdcd730aa0d-gzip%22	https://www.wastalinux.org/home/customizing/	./wasta-linux-doc/www.wastalinux.org/home/customizing/index.html	(from https://www.wastalinux.org/)
13:43:29	5784/5784	U--M-Z	200	updated ('OK')	text/html	etag:%221698-59fdcd730c94b-gzip%22	https://www.wastalinux.org/wasta-apps/wasta-menus/	./wasta-linux-doc/www.wastalinux.org/wasta-apps/wasta-menus/index.html	(from https://www.wastalinux.org/)
13:43:30	9998/9998	U--M-Z	200	updated ('OK')	text/html	etag:%22270e-59fdcd730aa0d-gzip%22	https://www.wastalinux.org/wasta-apps/cinnamon-layout/	./wasta-linux-doc/www.wastalinux.org/wasta-apps/cinnamon-layout/index.html	(from https://www.wastalinux.org/)
13:43:30	12888/12888	U--M-Z	200	updated ('OK')	text/html	etag:%223258-59fdcd730c94b-gzip%22	https://www.wastalinux.org/wasta-apps/wasta-offline/	./wasta-linux-doc/www.wastalinux.org/wasta-apps/wasta-offline/index.html	(from https://www.wastalinux.org/)
13:43:31	5825/5825	U--M-Z	200	updated ('OK')	text/html	etag:%2216c1-59fdcd730c94b-gzip%22	https://www.wastalinux.org/wasta-apps/wasta-resources/	./wasta-linux-doc/www.wastalinux.org/wasta-apps/wasta-resources/index.html	(from https://www.wastalinux.org/)
13:43:31	6755/6755	U--M-Z	200	updated ('OK')	text/html	etag:%221a63-59fdcd730c94b-gzip%22	https://www.wastalinux.org/tutorials/	./wasta-linux-doc/www.wastalinux.org/tutorials/index.html	(from https://www.wastalinux.org/)
