date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:18:25	57/57	U--MCZ	200	updated ('OK')	text/plain	date:Wed,%2021%20Jan%202015%2007:18:25%20GMT	https://sites.google.com/robots.txt		(from )
10:18:25	28215/28215	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/	./.wasta-linux-website/sites.google.com/site/wastalinux/index.html	(from )
10:18:27	42186/42186	---MC-	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2010:15:30%20GMT	https://ssl.gstatic.com/sites/p/2a2dae/system/app/css/codemirror_css.css	./.wasta-linux-website/ssl.gstatic.com/sites/p/2a2dae/system/app/css/codemirror_css.css	(from https://sites.google.com/site/wastalinux/)
10:18:28	8590/8590	---MC-	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2010:15:30%20GMT	https://ssl.gstatic.com/sites/p/2a2dae/system/app/css/trogedit.css	./.wasta-linux-website/ssl.gstatic.com/sites/p/2a2dae/system/app/css/trogedit.css	(from https://sites.google.com/site/wastalinux/)
10:18:28	18132/18132	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jan%202015%2007:18:27%20GMT	https://sites.google.com/site/wastalinux/CSI/	./.wasta-linux-website/sites.google.com/site/wastalinux/CSI/index.html	(from https://sites.google.com/site/wastalinux/)
10:18:29	10006/10006	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Jan%202015%2007:18:28%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/editor.css	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/editor.css	(from https://sites.google.com/site/wastalinux/)
10:18:30	1032/1032	---MC-	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2010:15:30%20GMT	https://ssl.gstatic.com/sites/p/2a2dae/system/app/css/codeeditor.css	./.wasta-linux-website/ssl.gstatic.com/sites/p/2a2dae/system/app/css/codeeditor.css	(from https://sites.google.com/site/wastalinux/)
10:18:30	14083/14083	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Jan%202015%2007:18:30%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/camelot/editor-jfk.css	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/camelot/editor-jfk.css	(from https://sites.google.com/site/wastalinux/)
10:18:33	3666/3666	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Jan%202015%2007:18:32%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/overlay.css?cb=ski25a1100px%25150goog-ws-leftnone30middlestandard	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/overlayf1d3.css	(from https://sites.google.com/site/wastalinux/)
10:18:33	196769/196769	---MC-	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202015%2010:15:30%20GMT	https://ssl.gstatic.com/sites/p/2a2dae/system/app/themes/ski/standard-css-ski-ltr-ltr.css	./.wasta-linux-website/ssl.gstatic.com/sites/p/2a2dae/system/app/themes/ski/standard-css-ski-ltr-ltr.css	(from https://sites.google.com/site/wastalinux/)
10:18:34	2225/2225	---MC-	200	added ('OK')	text/css	date:Wed,%2021%20Jan%202015%2007:18:33%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/camelot/allthemes-view.css	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/camelot/allthemes-view.css	(from https://sites.google.com/site/wastalinux/)
10:18:40	27208/27208	---MCZ	200	added ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/download	./.wasta-linux-website/sites.google.com/site/wastalinux/home/download.html	(from https://sites.google.com/site/wastalinux/)
10:18:40	555/555	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2021%20Jan%202015%2007:18:40%20GMT	https://sites.google.com/site/wastalinux/home/wasta-1404-800.jpg?attredirects=0	./.wasta-linux-website/sites.google.com/site/wastalinux/home/wasta-1404-800.126fb5.delayed	(from https://sites.google.com/site/wastalinux/)
10:18:41	8858/8858	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:40%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1416393857915/config/customLogo.gif?revision=1	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1416393857915/config/customLogoc7fe.png	(from https://sites.google.com/site/wastalinux/)
10:18:42	22896/22896	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/customizing	./.wasta-linux-website/sites.google.com/site/wastalinux/home/customizing.html	(from https://sites.google.com/site/wastalinux/)
10:18:42	18659/18659	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/wasta-applications	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications.html	(from https://sites.google.com/site/wastalinux/)
10:18:42	145/145	---MCZ	400	error ('Bad%20Request')	text/html	date:Wed,%2021%20Jan%202015%2007:18:42%20GMT	https://sites.google.com/site/wastalinux/_/tz	./.wasta-linux-website/sites.google.com/site/wastalinux/_/tz.15.delayed	(from https://sites.google.com/site/wastalinux/)
10:18:44	23273/23273	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/wasta-applications/wasta-backup	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-backup.html	(from https://sites.google.com/site/wastalinux/)
10:18:46	28529/28529	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/wasta-applications/wasta-offline	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-offline.html	(from https://sites.google.com/site/wastalinux/)
10:18:46	23302/23302	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/wasta-applications/wasta-menus	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-menus.html	(from https://sites.google.com/site/wastalinux/)
10:18:47	21942/21942	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/wasta-applications/wasta-resources	./.wasta-linux-website/sites.google.com/site/wastalinux/wasta-applications/wasta-resources.html	(from https://sites.google.com/site/wastalinux/)
10:18:47	46585/46585	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/why-linux	./.wasta-linux-website/sites.google.com/site/wastalinux/why-linux.html	(from https://sites.google.com/site/wastalinux/)
10:18:48	10209/10209	U--M--	200	updated ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:47%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1416329213793/home/wasta-linux-round-128.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1416329213793/home/wasta-linux-round-128.png	(from https://sites.google.com/site/wastalinux/)
10:18:49	13113/13113	---M--	200	added ('OK')	image/gif	date:Wed,%2021%20Jan%202015%2007:18:47%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/toolbar-check.gif	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/toolbar-check.gif	(from https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/editor.css)
10:18:49	51608/51608	U--M--	200	updated ('OK')	image/jpeg	date:Wed,%2021%20Jan%202015%2007:18:48%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1416236791661/home/wasta-1404-800.jpg	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1416236791661/home/wasta-1404-800.jpg	(from https://sites.google.com/site/wastalinux/)
10:18:49	11355/11355	U--MCZ	200	updated ('OK')	text/html	etag:%221421487870125|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/system/app/pages/reportAbuse	./.wasta-linux-website/sites.google.com/site/wastalinux/system/app/pages/reportAbuse.html	(from https://sites.google.com/site/wastalinux/)
10:18:49	259/259	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Jan%202015%2007:18:49%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/icon-help-kennedy.png	./.wasta-linux-website/sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/images/icon-help-kennedy.png	(from https://sites.google.com/site/wastalinux/_/rsrc/1421228130000/system/app/css/editor.css)
