date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:15	67/67	U--MCZ	200	updated ('OK')	text/plain	date:Sun,%2001%20May%202016%2013:58:14%20GMT	https://sites.google.com/robots.txt		(from )
16:58:15	29334/29334	U-----	200	untouched ('OK')	text/html	etag:%221462110627889|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/index.html	(from )
16:58:16	562/562	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2001%20May%202016%2013:58:16%20GMT	https://sites.google.com/site/wastalinux/home/wasta-linux-16-04-800.png?attredirects=0	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/home/wasta-linux-16-04-800.126fb5.delayed	(from https://sites.google.com/site/wastalinux/)
16:58:16	18375/18375	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2001%20May%202016%2013:58:16%20GMT	https://sites.google.com/site/wastalinux/CSI/	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/CSI/index.html	(from https://sites.google.com/site/wastalinux/)
16:58:16	42406/42406	U-----	200	untouched ('OK')	text/css	date:Tue,%2019%20Apr%202016%2014:05:56%20GMT	https://ssl.gstatic.com/sites/p/59b8f1/system/app/css/codemirror_css.css	/home/akiverson/wasta-linux-doc/ssl.gstatic.com/sites/p/59b8f1/system/app/css/codemirror_css.css	(from https://sites.google.com/site/wastalinux/)
16:58:17	8590/8590	U-----	200	untouched ('OK')	text/css	date:Tue,%2019%20Apr%202016%2014:05:56%20GMT	https://ssl.gstatic.com/sites/p/59b8f1/system/app/css/trogedit.css	/home/akiverson/wasta-linux-doc/ssl.gstatic.com/sites/p/59b8f1/system/app/css/trogedit.css	(from https://sites.google.com/site/wastalinux/)
16:58:17	145/145	---MCZ	400	error ('Bad%20Request')	text/html	date:Sun,%2001%20May%202016%2013:58:17%20GMT	https://sites.google.com/site/wastalinux/_/tz	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/_/tz.15.delayed	(from https://sites.google.com/site/wastalinux/)
16:58:19	10006/10006	U--MC-	200	updated ('OK')	text/css	date:Sun,%2001%20May%202016%2013:54:18%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1461073079000/system/app/css/editor.css	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/_/rsrc/1461073079000/system/app/css/editor.css	(from https://sites.google.com/site/wastalinux/)
16:58:19	3666/3666	U--MC-	200	updated ('OK')	text/css	date:Sun,%2001%20May%202016%2013:54:20%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1461073079000/system/app/css/overlay.css?cb=ski28a1100px%25150goog-ws-leftnone30middlestandard	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/_/rsrc/1461073079000/system/app/css/overlayf742.css	(from https://sites.google.com/site/wastalinux/)
16:58:21	2225/2225	U--MC-	200	updated ('OK')	text/css	date:Sun,%2001%20May%202016%2013:54:21%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1461073079000/system/app/css/camelot/allthemes-view.css	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/_/rsrc/1461073079000/system/app/css/camelot/allthemes-view.css	(from https://sites.google.com/site/wastalinux/)
16:58:22	8858/8858	U--M--	200	updated ('OK')	image/png	date:Sun,%2001%20May%202016%2013:54:22%20GMT	https://sites.google.com/site/wastalinux/_/rsrc/1416393857915/config/customLogo.gif?revision=1	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/_/rsrc/1416393857915/config/customLogoc7fe.png	(from https://sites.google.com/site/wastalinux/)
16:58:39	1032/1032	U-----	200	untouched ('OK')	text/css	date:Tue,%2019%20Apr%202016%2014:05:56%20GMT	https://ssl.gstatic.com/sites/p/59b8f1/system/app/css/codeeditor.css	/home/akiverson/wasta-linux-doc/ssl.gstatic.com/sites/p/59b8f1/system/app/css/codeeditor.css	(from https://sites.google.com/site/wastalinux/)
16:58:40	196519/196519	U-----	200	untouched ('OK')	text/css	date:Tue,%2019%20Apr%202016%2014:05:56%20GMT	https://ssl.gstatic.com/sites/p/59b8f1/system/app/themes/ski/standard-css-ski-ltr-ltr.css	/home/akiverson/wasta-linux-doc/ssl.gstatic.com/sites/p/59b8f1/system/app/themes/ski/standard-css-ski-ltr-ltr.css	(from https://sites.google.com/site/wastalinux/)
16:58:51	23141/23141	U-----	200	untouched ('OK')	text/html	etag:%221462110627889|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/ubuntuconversion	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/home/ubuntuconversion.html	(from https://sites.google.com/site/wastalinux/)
16:58:52	23229/23229	U-----	200	untouched ('OK')	text/html	etag:%221462110627889|#public|0|en|||0%22	https://sites.google.com/site/wastalinux/home/download	/home/akiverson/wasta-linux-doc/sites.google.com/site/wastalinux/home/download.html	(from https://sites.google.com/site/wastalinux/)
